2025-11-24 07:15:47,501 - URL: https://cornerstone.studio | Status: success | Mode: fast_html | Retries: 0 | Pages: 2 | Emails: 0 | Phones: 31 | Confidence: 0.49 | LoadTime: 0.00s | Reason: Success
2025-11-24 07:15:48,328 - URL: https://beebrilliantmarketing.com | Status: success | Mode: fast_html | Retries: 0 | Pages: 3 | Emails: 0 | Phones: 11 | Confidence: 0.55 | LoadTime: 0.00s | Reason: Success
2025-11-24 07:15:48,625 - URL: https://pedaladvertising.com | Status: success | Mode: fast_html | Retries: 0 | Pages: 1 | Emails: 0 | Phones: 10 | Confidence: 0.47 | LoadTime: 0.00s | Reason: Success
2025-11-24 07:15:49,560 - URL: https://smp.com.np | Status: success | Mode: fast_html | Retries: 0 | Pages: 5 | Emails: 0 | Phones: 49 | Confidence: 0.75 | LoadTime: 0.00s | Reason: Success
2025-11-24 07:15:50,795 - URL: https://lyfemarketing.com | Status: success | Mode: fast_html | Retries: 0 | Pages: 1 | Emails: 1 | Phones: 164 | Confidence: 0.64 | LoadTime: 0.00s | Reason: Success
2025-11-24 07:15:51,138 - URL: https://sparkagency.com | Status: success | Mode: fast_html | Retries: 0 | Pages: 2 | Emails: 2 | Phones: 19 | Confidence: 0.69 | LoadTime: 0.00s | Reason: Success
2025-11-24 07:15:51,857 - URL: https://bigwestmarketing.com | Status: success | Mode: fast_html | Retries: 0 | Pages: 1 | Emails: 0 | Phones: 6 | Confidence: 0.45 | LoadTime: 0.00s | Reason: Success
2025-11-24 07:15:52,988 - URL: https://websolutionagency.co | Status: success | Mode: fast_html | Retries: 0 | Pages: 1 | Emails: 3 | Phones: 17 | Confidence: 0.59 | LoadTime: 0.00s | Reason: Success
2025-11-24 07:15:53,718 - URL: https://thewebdesigninc.com | Status: success | Mode: fast_html | Retries: 0 | Pages: 2 | Emails: 1 | Phones: 10 | Confidence: 0.68 | LoadTime: 0.00s | Reason: Success
2025-11-24 07:15:55,011 - URL: https://solutionsforgrowthllc.com | Status: success | Mode: fast_html | Retries: 1 | Pages: 3 | Emails: 1 | Phones: 58 | Confidence: 0.58 | LoadTime: 0.00s | Reason: Success
2025-11-24 07:15:55,778 - URL: https://digitalmarketinggroup.com | Status: success | Mode: fast_html | Retries: 0 | Pages: 2 | Emails: 1 | Phones: 17 | Confidence: 0.57 | LoadTime: 0.00s | Reason: Success
2025-11-24 07:15:56,196 - URL: https://triodash.com | Status: success | Mode: fast_html | Retries: 0 | Pages: 1 | Emails: 0 | Phones: 3 | Confidence: 0.44 | LoadTime: 0.00s | Reason: Success
2025-11-24 07:15:56,579 - URL: https://graybox.co/blog | Status: success | Mode: fast_html | Retries: 0 | Pages: 2 | Emails: 2 | Phones: 55 | Confidence: 0.60 | LoadTime: 0.00s | Reason: Success
2025-11-24 07:15:58,609 - URL: https://elymant.com | Status: success | Mode: fast_html | Retries: 0 | Pages: 2 | Emails: 0 | Phones: 46 | Confidence: 0.56 | LoadTime: 0.00s | Reason: Success
2025-11-24 07:16:07,212 - URL: https://seo-discovery.com | Status: failed | Mode: hard_mode | Retries: 16 | Pages: 0 | Emails: 0 | Phones: 0 | Confidence: 0.00 | LoadTime: 0.00s | Reason: All fetch modes failed: unknown (retries: 16)
2025-11-24 08:24:51,101 - URL: https://www.littlecollinsnyc.com/ | Status: success | Mode: fast_html | Retries: 0 | Pages: 2 | Emails: 1 | Phones: 68 | Confidence: 0.53 | LoadTime: 0.48s | Reason: Success
2025-11-24 08:31:42,250 - URL: https://www.littlecollinsnyc.com/ | Status: success | Mode: fast_html | Retries: 0 | Pages: 2 | Emails: 1 | Phones: 2 | Confidence: 0.46 | LoadTime: 1.10s | Reason: Success
2025-11-24 08:38:13,881 - URL: https://www.littlecollinsnyc.com/ | Status: success | Mode: fast_html | Retries: 0 | Pages: 2 | Emails: 1 | Phones: 2 | Confidence: 0.46 | LoadTime: 0.73s | Reason: Success
